id,name,owner,url,icon,group,lat,lon,street,city,state,zip,notes
1,Bladon Springs State Park,Alabama State Parks,https://alapark.com,,state_parks_al,31.7377,-88.1963,,,,,
2,Blue Springs State Park,Alabama State Parks,https://alapark.com,,state_parks_al,31.6613,-85.5075,,,,,
3,Buck's Pocket State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.47361111,-86.05333333,,,,,
4,Cathedral Caverns State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.57333333,-86.22222222,,,,,
5,Chattahoochee State Park,Alabama State Parks,https://alapark.com,,state_parks_al,31.0075,-85.03305556,,,,,
6,Cheaha Mountain,Alabama State Parks,https://alapark.com,,state_parks_al,33.48551128,-85.80866305,,,,,
7,Cheaha State Park,Alabama State Parks,https://alapark.com,,state_parks_al,33.47444444,-85.80972222,,,,,
8,Chewacla State Park,Alabama State Parks,https://alapark.com,,state_parks_al,32.55083333,-85.4775,,,,,
9,Chickasaw State Park (Alabama),Alabama State Parks,https://alapark.com,,state_parks_al,32.35916667,-87.78694444,,,,,
10,DeSoto State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.54833333,-85.59,,,,,
11,Frank Jackson State Park,Alabama State Parks,https://alapark.com,,state_parks_al,31.31416667,-86.27222222,,,,,
12,Gulf State Park,Alabama State Parks,https://alapark.com,,state_parks_al,30.26527778,-87.64111111,,,,,
13,Historic Blakeley State Park,Alabama State Parks,https://alapark.com,,state_parks_al,30.74333333,-87.91527778,,,,,
14,Joe Wheeler State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.79111111,-87.37916667,,,,,
15,Lake Guntersville State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.40277778,-86.19638889,,,,,
16,Lake Lurleen State Park,Alabama State Parks,https://alapark.com,,state_parks_al,33.29861111,-87.67777778,,,,,
17,Lakepoint State Park,Alabama State Parks,https://alapark.com,,state_parks_al,31.99083333,-85.115,,,,,
18,Meaher State Park,Alabama State Parks,https://alapark.com,,state_parks_al,30.66973,-87.93604,,,,,
19,Monte Sano State Park,Alabama State Parks,https://alapark.com,,state_parks_al,34.73138889,-86.50416667,,,,,
20,Oak Mountain State Park,Alabama State Parks,https://alapark.com,,state_parks_al,33.34277778,-86.72111111,,,,,
21,Paul M. Grist State Park,Alabama State Parks,https://alapark.com,,state_parks_al,32.59805556,-86.99083333,,,,,
